id,fname,category,country
46,Rice Dish,Reshtah palaw,Afghanistan
47,Stew,Shalgham challaw,Afghanistan
48,Meatballs,Qofte fÃƒÂ«rguara,Albania
49,Casserole,TavÃƒÂ« kosi,Albania
50,Pancake,Flija,Albania
51,Savory Pie,Shapkat,Albania
52,Vegetable Dish,FÃƒÂ«rgesÃƒÂ« Tirane,Albania
53,Vegetable Soup,Jani me fasule,Albania
54,Custard,QumÃƒÂ«shtor,Albania
55,Cookie,Ballokume Elbasani,Albania
56,Stew,PaÃƒÂ§e koke,Albania
57,Ground Meat Dish,Sarma,Albania
58,Sweet Pie,Kungullur,Albania
59,Porridge,Harapash,Albania
60,Appetizer,Tirana furghes,Albania
61,Snack,Papare,Albania
62,Stew,Couscous (dish),Algeria
63,Pancake,Mahjouba,Algeria
64,Soup,Harira,Algeria
65,Noodle Dish,Rechta,Algeria
66,Soup,Chorba frik,Algeria
67,Stew,Chakhchoukha,Algeria
68,Chicken Dish,Tajine zitoune,Algeria
69,Street Food,Garantita,Algeria
70,Flatbread,Msemen,Algeria
71,Appetizer,Maaqouda,Algeria
72,Stew,Lham lahlou,Algeria
73,Flatbread,Kesra,Algeria
74,Sweet Pastry,Mkhabez,Algeria
75,Dessert,Kalb-el-louz,Algeria
76,Cookie,Makroud el louse,Algeria
77,Dessert,Tamina,Algeria
78,Egg Dish,Shakshouka,Algeria
79,Bread,Khobz el dar,Algeria
80,Offal Dish,Bouzellouf,Algeria
81,Sweet Bread,Mbesses,Algeria
82,Chicken Soup,Chorba beÃƒÂ¯da,Algeria
83,Side Dish,Mesfouf,Algeria
84,Vegetable Dish,Trinxat,Andorra
85,Soup,Escudella de pagÃƒÂ©s,Andorra
86,Egg Dish,Truites de carreroles,Andorra
87,Stew,Calulu,Angola
88,Meat Dish,Cabidela,Angola
89,Porridge,Funje,Angola
